================================================================================
********************************************************************************
Pure Minimum Conflict Algorithm Detail result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict Algorithm Detail
NQueen	Time	Iteration	SUCCESS/FAIL	Number of Trials
19	8109	1798	SUCCESS	6
19	2781	620	SUCCESS	7
19	2891	643	SUCCESS	8
19	1118	247	SUCCESS	9
19	1028	230	SUCCESS	10
19	1335	291	SUCCESS	11
19	9381	2074	SUCCESS	12
19	1070	238	SUCCESS	13
19	828	185	SUCCESS	14
19	805	178	SUCCESS	15
19	2579	578	SUCCESS	16
19	2934	659	SUCCESS	17
19	4507	1001	SUCCESS	18
19	1151	256	SUCCESS	19
19	1061	235	SUCCESS	20
19	1090	243	SUCCESS	21
19	743	165	SUCCESS	22
19	432	94	SUCCESS	23
19	2191	483	SUCCESS	24
19	826	182	SUCCESS	25
19	1576	350	SUCCESS	26
19	2445	546	SUCCESS	27
19	726	160	SUCCESS	28
19	7834	1736	SUCCESS	29
19	1297	286	SUCCESS	30
19	2186	481	SUCCESS	31
19	4973	1104	SUCCESS	32
19	4665	1036	SUCCESS	33
19	487	108	SUCCESS	34
19	4597	1023	SUCCESS	35
19	3803	834	SUCCESS	36
19	881	194	SUCCESS	37
19	589	129	SUCCESS	38
19	472	104	SUCCESS	39
19	958	210	SUCCESS	40
19	765	170	SUCCESS	41
19	426	93	SUCCESS	42
19	6043	1326	SUCCESS	43
19	1611	359	SUCCESS	44
19	501	108	SUCCESS	45
19	4607	1023	SUCCESS	46
19	3786	834	SUCCESS	47
19	883	194	SUCCESS	48
19	590	129	SUCCESS	49
19	471	104	SUCCESS	50
********************************************************************************
20	5439	1149	SUCCESS	1
20	815	171	SUCCESS	2
20	2418	509	SUCCESS	3
20	472	100	SUCCESS	4
20	2804	588	SUCCESS	5
20	2204	466	SUCCESS	6
20	2677	559	SUCCESS	7
20	4428	932	SUCCESS	8
20	1738	369	SUCCESS	9
20	775	163	SUCCESS	10
20	1610	341	SUCCESS	11
20	1877	397	SUCCESS	12
20	419	88	SUCCESS	13
20	1579	317	SUCCESS	14
20	7710	1602	SUCCESS	15
20	1484	311	SUCCESS	16
20	729	155	SUCCESS	17
20	4505	947	SUCCESS	18
20	1393	296	SUCCESS	19
20	650	136	SUCCESS	20
20	3743	791	SUCCESS	21
20	2428	512	SUCCESS	22
20	1131	236	SUCCESS	23
20	502	107	SUCCESS	24
20	2463	515	SUCCESS	25
20	4802	1008	SUCCESS	26
20	1345	288	SUCCESS	27
20	4330	907	SUCCESS	28
20	1269	269	SUCCESS	29
20	1322	278	SUCCESS	30
20	4327	907	SUCCESS	31
20	1269	269	SUCCESS	32
20	1321	278	SUCCESS	33
20	4328	907	SUCCESS	34
20	1268	269	SUCCESS	35
20	1321	278	SUCCESS	36
20	4321	907	SUCCESS	37
20	1268	269	SUCCESS	38
20	1319	278	SUCCESS	39
20	4332	907	SUCCESS	40
20	1267	269	SUCCESS	41
20	1322	278	SUCCESS	42
20	4324	907	SUCCESS	43
20	1267	269	SUCCESS	44
20	1323	278	SUCCESS	45
20	4328	907	SUCCESS	46
20	1266	269	SUCCESS	47
